Ad Group - Shopee Indonesia
Username,japarutomo
Nama Toko,Japarutomo
ID Toko,195741061
Waktu Laporan Dibuat,16/07/2026 00:35
Periode,01/06/2026 - 30/06/2026

Urutan,Nama Iklan/Produk,Status,Jenis Iklan,Kode Produk,Mode Bidding,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Voucher Amount,Vouchered Sales
1,Grup Regular,Berjalan,Iklan Produk,-,GMV Max ROAS,23/06/2026 00:00:00,Tidak Terbatas,67407,2887,4.28%,179,156,6.20%,5.40%,4446.80,5102.41,504,438,11166569,10116478,795976,14.03,12.71,7.13%,7.87%,141161,1341142
2,"rubber white board ukuran A4 (21x30cm) tebal 0,5 mm",-,Iklan Produk,3369677594,-,-,-,1197,45,3.76%,1,1,2.22%,2.22%,11419.61,11419.61,4,4,152000,152000,11420,13.31,13.31,7.51%,7.51%,0,0
3,lis karet kasa nyamuk,-,Iklan Produk,4257564782,-,-,-,1662,95,5.72%,3,3,3.16%,3.16%,4453.40,4453.40,26,26,156000,156000,13360,11.68,11.68,8.56%,8.56%,487,36000
4,Jalusi pintu kamar mandi ukuran 34 x20 cm,-,Iklan Produk,5230514102,-,-,-,7107,267,3.76%,19,19,7.12%,7.12%,3840.47,3840.47,23,23,689770,689770,72969,9.45,9.45,10.58%,10.58%,48589,247910
5,"magnet flexible 3M lebar 2,5 cm Dan 1 cm ,tebal 1,5 mm",-,Iklan Produk,5368368737,-,-,-,7041,350,4.97%,19,11,5.43%,3.14%,3905.51,6745.89,22,12,611895,322000,74205,8.25,4.34,12.13%,23.04%,0,0
6,Screen port Kasa nyamuk aluminum,-,Iklan Produk,5515892408,-,-,-,10864,485,4.46%,28,24,5.77%,4.95%,5306.49,6190.90,189,177,4140728,3936728,148582,27.87,26.50,3.59%,3.77%,11741,111320
7,engsel plastik VALCO pintu kamar mandi PVC,-,Iklan Produk,6178634499,-,-,-,5470,200,3.66%,40,40,20.00%,20.00%,1287.55,1287.55,52,52,415480,415480,51502,8.07,8.07,12.40%,12.40%,28091,301650
8,Kasa nyamuk lobang kecil miniflex,-,Iklan Produk,6231586835,-,-,-,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,0,0
9,kasa nyamuk lubang kecil warna natural aluminum,-,Iklan Produk,6256637110,-,-,-,208,7,3.37%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,679,0.00,0.00,0.00%,0.00%,0,0
10,magnet strip untuk Kasa magnet,-,Iklan Produk,6548879608,-,-,-,288,9,3.12%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,7211,0.00,0.00,0.00%,0.00%,0,0
