Semua Laporan Iklan CPC - Shopee Indonesia
Username,japarutomo
Nama Toko,Japarutomo
ID Toko,195741061
Waktu Laporan Dibuat,16/07/2026 00:29
Periode,01/06/2026 - 30/06/2026

Urutan,Nama Iklan,Status,Jenis Iklan,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Add to Cart,Add to Cart Rate,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk,Voucher Amount,Vouchered Sales
1,Grup Regular,Berjalan,Iklan Produk,-,-,GMV Max ROAS,-,23/06/2026 00:00:00,Tidak Terbatas,67407,2887,4.28%,-,-,179,156,6.20%,5.40%,4446.80,5102.41,504,438,11166569,10116478,795976,14.03,12.71,7.13%,7.87%,-,-,-,141161,1341142
2,Grup Hero,Berjalan,Iklan Produk,-,-,GMV Max ROAS,-,23/06/2026 00:00:00,Tidak Terbatas,41155,1777,4.32%,-,-,58,39,3.26%,2.19%,8758.42,13025.35,312,216,6165695,4700190,507989,12.14,9.25,8.24%,10.81%,-,-,-,87665,501254
3,Low Konversi,Berjalan,Iklan Produk,-,-,GMV Max ROAS,-,18/06/2026 00:00:00,Tidak Terbatas,1487,40,2.69%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,25839,0.00,0.00,0.00%,0.00%,-,-,-,7094,35500
4,paket kasa nyamuk magnet tanpa kasa [2],Berjalan,Iklan Produk,5544377583,-,GMV Max ROAS,Semua Penempatan,29/11/2024 00:00:00,Tidak Terbatas,39270,1809,4.61%,208,11.50%,86,48,4.75%,2.65%,10909.33,19545.88,302,92,12626484,9194000,938202,13.46,9.80,7.43%,10.20%,-,-,-,110444,1886399
5,Kasa nyamuk fiber [3],Berjalan,Iklan Produk,7518264650,-,GMV Max ROAS,Semua Penempatan,02/09/2024 00:00:00,Tidak Terbatas,36780,1699,4.62%,294,17.30%,115,86,6.77%,5.06%,6269.98,8384.28,771,471,16848129,14129529,721048,23.37,19.60,4.28%,5.10%,-,-,-,39181,376253
6,Screen port Kasa nyamuk magnet [3],Berjalan,Iklan Produk,5615891023,-,GMV Max ROAS,Semua Penempatan,16/06/2025 00:00:00,Tidak Terbatas,30674,1055,3.44%,130,12.32%,98,84,9.29%,7.96%,6320.43,7373.84,558,410,12872483,11601000,619403,20.78,18.73,4.81%,5.34%,-,-,-,22624,158764
7,Screen port Kasa nyamuk fibre [3],Berjalan,Iklan Produk,4015893850,-,GMV Max ROAS,Semua Penempatan,16/06/2025 00:00:00,Tidak Terbatas,28828,1148,3.98%,150,13.07%,82,72,7.14%,6.27%,4467.53,5088.03,314,289,5171275,4334711,366338,14.12,11.83,7.08%,8.45%,-,-,-,64215,643433
8,list pvc kasa nyamuk magnet [2],Berjalan,Iklan Produk,6055665094,-,GMV Max ROAS,Semua Penempatan,29/11/2024 00:00:00,Tidak Terbatas,27744,1836,6.62%,235,12.80%,103,74,5.61%,4.03%,6006.26,8360.06,478,322,10587390,8657500,618644,17.11,13.99,5.84%,7.15%,-,-,-,36897,608500
9,"magnet sheet danPVC sheet lebar 60 cm tebal 0,5 mm",Berjalan,Iklan Produk,25438597334,-,GMV Max ROAS,Semua Penempatan,24/10/2025 00:00:00,Tidak Terbatas,21081,1015,4.81%,151,14.88%,46,38,4.53%,3.74%,9232.73,11176.47,199,69,9861584,4085000,424706,23.22,9.62,4.31%,10.40%,-,-,-,10522,55000
10,Sudut plastik pada Kasa nyamuk magnet [2],Berjalan,Iklan Produk,6135969909,-,GMV Max ROAS,Semua Penempatan,29/11/2024 00:00:00,Tidak Terbatas,18475,706,3.82%,270,38.24%,46,44,6.52%,6.23%,4043.71,4227.52,1094,1091,2675999,2606000,186011,14.39,14.01,6.95%,7.14%,-,-,-,48692,782400
11,magnet sheet flexible A3 (30x42 cm),Berjalan,Iklan Produk,6669252746,-,GMV Max ROAS,Semua Penempatan,24/10/2025 00:00:00,Tidak Terbatas,15712,807,5.14%,76,9.42%,48,45,5.95%,5.58%,11088.35,11827.58,341,337,14688000,14552000,532241,27.60,27.34,3.62%,3.66%,-,-,-,15417,625998
12,Kasa nyamuk aluminum (parabola),Berjalan,Iklan Produk,4318270787,-,GMV Max ROAS,Semua Penempatan,05/08/2025 00:00:00,Tidak Terbatas,13806,791,5.73%,87,11.00%,49,32,6.19%,4.05%,6008.96,9201.22,150,79,7123700,5301500,294439,24.19,18.01,4.13%,5.55%,-,-,-,19793,292000
13,kasa nyamuk aluminum parabola lebar 120 cm,Berjalan,Iklan Produk,5155576973,-,GMV Max ROAS,Semua Penempatan,16/06/2025 00:00:00,Tidak Terbatas,11964,671,5.61%,86,12.82%,20,13,2.98%,1.94%,12640.83,19447.44,85,37,3600000,3151500,252817,14.24,12.47,7.02%,8.02%,-,-,-,59251,952200
14,Kasa nyamuk stainless steel lebar 120 cm,Berjalan,Iklan Produk,3815990807,-,GMV Max ROAS,Semua Penempatan,05/08/2025 00:00:00,Tidak Terbatas,8336,392,4.70%,60,15.31%,21,20,5.36%,5.10%,14442.04,15164.15,94,90,7484996,7425000,303283,24.68,24.48,4.05%,4.08%,-,-,-,6266,165000
15,"magnet flexible 3M lebar 2,5 cm Dan 1 cm ,tebal 1,5 mm",Dijeda,Iklan Produk,5368368737,-,GMV Max ROAS,Semua Penempatan,16/06/2025 00:00:00,Tidak Terbatas,38127,2071,5.43%,260,12.55%,90,87,4.35%,4.20%,5502.56,5692.31,160,156,3554898,3509000,495231,7.18,7.09,13.93%,14.11%,-,-,-,7798,55000
16,Screen port Kasa nyamuk aluminum [3],Dijeda,Iklan Produk,5515892408,-,GMV Max ROAS,Semua Penempatan,16/06/2025 00:00:00,Tidak Terbatas,36021,1444,4.01%,124,8.59%,79,68,5.47%,4.71%,10220.50,11873.81,693,306,8129783,6796784,807419,10.07,8.42,9.93%,11.88%,-,-,-,158061,1878548
17,magnet sheet a4 (21x30 cm) [3],Dijeda,Iklan Produk,8803433747,-,GMV Max ROAS,Semua Penempatan,02/09/2024 00:00:00,Tidak Terbatas,32115,1405,4.37%,152,10.82%,73,62,5.20%,4.41%,5239.90,6169.56,247,123,2676936,2086915,382513,7.00,5.46,14.29%,18.33%,-,-,-,52286,540974
18,engsel plastik VALCO pintu kamar mandi PVC [3],Dijeda,Iklan Produk,6178634499,-,GMV Max ROAS,Semua Penempatan,02/09/2024 00:00:00,Tidak Terbatas,29723,853,2.87%,110,12.90%,179,176,20.98%,20.63%,1668.89,1697.34,248,245,1952198,1922198,298731,6.53,6.43,15.30%,15.54%,-,-,-,147520,1294782
19,Jalusi pintu kamar mandi ukuran 34 x20 cm [2],Dijeda,Iklan Produk,5230514102,-,GMV Max ROAS,Semua Penempatan,02/09/2024 00:00:00,Tidak Terbatas,23427,873,3.73%,120,13.75%,71,64,8.13%,7.33%,5760.78,6390.86,121,68,2376800,2039320,409015,5.81,4.99,17.21%,20.06%,-,-,-,205223,1185610
20,magnet strip 3M lebar 10 mm [3],Dijeda,Iklan Produk,10001224131,-,GMV Max ROAS,Semua Penempatan,16/06/2025 00:00:00,Tidak Terbatas,23253,977,4.20%,191,19.55%,86,73,8.80%,7.47%,3894.73,4588.32,220,180,2717896,2220000,334947,8.11,6.63,12.32%,15.09%,-,-,-,64697,859997
21,"kasa nyamuk aluminum tebal 1,2 mm",Dijeda,Iklan Produk,22230500471,-,GMV Max ROAS,Semua Penempatan,19/03/2025 00:00:00,Tidak Terbatas,20059,1036,5.16%,66,6.37%,18,16,1.74%,1.54%,40770.99,45867.36,71,62,9425500,9130000,733878,12.84,12.44,7.79%,8.04%,-,-,-,54610,775000
22,magnet a b untuk kasa nyamuk magnet [2],Dijeda,Iklan Produk,3244424806,-,GMV Max ROAS,Semua Penempatan,02/09/2024 00:00:00,Tidak Terbatas,20015,933,4.66%,214,22.94%,84,57,9.00%,6.11%,5309.84,7825.03,527,403,9480256,7870500,446026,21.25,17.65,4.70%,5.67%,-,-,-,22822,1238464
23,List pvc dan sudut tanpa kasa nyamuk tanpa magnet [2],Dijeda,Iklan Produk,7433192248,-,GMV Max ROAS,Semua Penempatan,29/11/2024 00:00:00,Tidak Terbatas,18191,854,4.69%,91,10.66%,33,24,3.86%,2.81%,11161.28,15346.76,113,51,2172700,1798000,368322,5.90,4.88,16.95%,20.49%,-,-,-,19342,473500
24,rubber white board bisa ditempel magnet [3],Dijeda,Iklan Produk,9503325848,-,GMV Max ROAS,Semua Penempatan,29/11/2024 00:00:00,Tidak Terbatas,12111,495,4.09%,118,23.84%,15,15,3.03%,3.03%,22624.11,22624.11,38,38,4750000,4750000,339362,14.00,14.00,7.14%,7.14%,-,-,-,133194,750000
25,Kasa nyamuk lobang kecil miniflex,Dijeda,Iklan Produk,6231586835,-,GMV Max ROAS,Semua Penempatan,16/06/2025 00:00:00,Tidak Terbatas,10722,475,4.43%,37,7.79%,17,11,3.58%,2.32%,21757.79,33625.68,48,21,3085398,2421000,369882,8.34,6.55,11.99%,15.28%,-,-,-,206347,1163000
26,lis karet kasa nyamuk,Dijeda,Iklan Produk,4257564782,-,GMV Max ROAS,Semua Penempatan,16/06/2025 00:00:00,Tidak Terbatas,8225,458,5.57%,32,6.99%,12,5,2.62%,1.09%,15116.74,36280.17,88,71,719897,426000,181401,3.97,2.35,25.20%,42.58%,-,-,-,6840,33000
27,Rubber white board 60 x 90 cm,Dijeda,Iklan Produk,23629279101,-,GMV Max ROAS,Semua Penempatan,05/08/2025 00:00:00,Tidak Terbatas,5427,266,4.90%,21,7.89%,10,7,3.76%,2.63%,21755.57,31079.38,15,9,2688000,2025000,217556,12.36,9.31,8.09%,10.74%,-,-,-,140813,925000
28,Kasa nyamuk stainless steel lebar 90 cm,Dijeda,Iklan Produk,7717226448,-,GMV Max ROAS,Semua Penempatan,05/08/2025 00:00:00,Tidak Terbatas,5247,232,4.42%,28,12.07%,9,8,3.88%,3.45%,20293.56,22830.25,15,14,939999,910000,182642,5.15,4.98,19.43%,20.07%,-,-,-,39564,799500
29,magnet strip untuk Kasa magnet,Dijeda,Iklan Produk,6548879608,-,GMV Max ROAS,Semua Penempatan,24/10/2025 00:00:00,Tidak Terbatas,4658,177,3.80%,2,1.13%,4,2,2.26%,1.13%,51656.52,103313.05,23,6,5997000,5940000,206626,29.02,28.75,3.45%,3.48%,-,-,-,21572,202400
30,"rubber white board ukuran A4 (21x30cm) tebal 0,5 mm",Dijeda,Iklan Produk,3369677594,-,GMV Max ROAS,Semua Penempatan,05/08/2025 00:00:00,Tidak Terbatas,4401,181,4.11%,13,7.18%,5,5,2.76%,2.76%,10128.53,10128.53,6,6,228000,228000,50643,4.50,4.50,22.21%,22.21%,-,-,-,36808,197990
